50 9251 9251
1 351 131.0 46.0
1 352 151.0 43.0
1 353 146.0 45.0
1 354 275.0 43.0
1 355 271.0 44.0
1 356 270.0 46.0
1 357 283.0 44.0
1 358 283.0 46.0
1 359 663.0 43.0
1 360 696.0 43.0
1 361 686.0 44.0
1 362 688.0 44.0
1 363 692.0 45.0
1 364 709.0 43.0
1 365 714.0 43.0
1 366 704.0 44.0
1 367 707.0 46.0
1 368 716.0 46.0
1 369 723.0 43.0
1 370 726.0 43.0
1 371 732.0 43.0
1 372 730.0 46.0
1 373 744.0 43.0
1 374 749.0 43.0
1 375 752.0 43.0
1 376 756.0 44.0
1 377 745.0 45.0
1 378 751.0 45.0
1 379 768.0 43.0
1 380 772.0 43.0
1 381 764.0 44.0
1 382 769.0 45.0
1 383 767.0 46.0
1 384 772.0 46.0
1 385 789.0 43.0
1 386 793.0 45.0
1 387 796.0 45.0
1 388 790.0 46.0
1 389 810.0 43.0
1 390 816.0 43.0
1 391 813.0 45.0
1 392 1055.0 46.0
1 393 156.0 56.0
1 394 164.0 56.0
1 395 256.0 56.0
1 396 264.0 54.0
1 397 283.0 54.0
1 398 285.0 56.0
1 399 688.0 53.0
1 400 693.0 53.0
1 401 686.0 54.0
1 402 693.0 56.0
1 403 704.0 53.0
1 404 713.0 53.0
1 405 703.0 56.0
1 406 709.0 56.0
1 407 727.0 56.0
1 408 733.0 56.0
1 409 748.0 55.0
1 410 751.0 56.0
1 411 756.0 56.0
1 412 768.0 53.0
1 413 771.0 55.0
1 414 790.0 54.0
1 415 810.0 53.0
1 416 136.0 65.0
1 417 143.0 65.0
1 418 147.0 66.0
1 419 184.0 63.0
1 420 190.0 63.0
1 421 254.0 64.0
1 422 291.0 63.0
1 423 294.0 66.0
1 424 687.0 64.0
1 425 713.0 63.0
1 426 711.0 66.0
1 427 747.0 63.0
1 428 746.0 65.0
1 429 975.0 66.0
1 430 983.0 66.0
1 431 1027.0 63.0
1 432 136.0 73.0
1 433 132.0 75.0
1 434 154.0 76.0
1 435 163.0 73.0
1 436 203.0 73.0
1 437 209.0 73.0
1 438 256.0 74.0
1 439 249.0 76.0
1 440 252.0 76.0
1 441 254.0 76.0
1 442 275.0 76.0
1 443 295.0 73.0
1 444 283.0 75.0
1 445 304.0 73.0
1 446 511.0 76.0
1 447 514.0 76.0
1 448 525.0 73.0
1 449 714.0 73.0
1 450 714.0 75.0
1 451 728.0 73.0
1 452 750.0 73.0
1 453 746.0 75.0
1 454 983.0 74.0
1 455 194.0 84.0
1 456 189.0 86.0
1 457 265.0 83.0
1 458 274.0 83.0
1 459 276.0 86.0
1 460 296.0 83.0
1 461 283.0 84.0
1 462 303.0 84.0
1 463 305.0 84.0
1 464 308.0 84.0
1 465 307.0 86.0
1 466 693.0 84.0
1 467 688.0 85.0
1 468 711.0 83.0
1 469 714.0 86.0
1 470 746.0 83.0
1 471 752.0 83.0
1 472 755.0 85.0
1 473 749.0 86.0
1 474 51.0 95.0
1 475 193.0 95.0
1 476 195.0 95.0
1 477 268.0 93.0
1 478 294.0 96.0
1 479 313.0 93.0
1 480 306.0 94.0
1 481 310.0 95.0
1 482 303.0 96.0
1 483 689.0 96.0
1 484 693.0 96.0
1 485 730.0 96.0
1 486 732.0 96.0
1 487 751.0 95.0
1 488 746.0 96.0
1 489 776.0 95.0
1 490 815.0 93.0
1 491 288.0 103.0
1 492 310.0 104.0
1 493 314.0 105.0
1 494 316.0 105.0
1 495 309.0 106.0
1 496 556.0 103.0
1 497 544.0 104.0
1 498 555.0 106.0
1 499 563.0 103.0
1 500 566.0 105.0
1 501 748.0 104.0
1 502 953.0 105.0
1 503 1055.0 104.0
1 504 54.0 113.0
1 505 71.0 113.0
1 506 74.0 114.0
1 507 75.0 116.0
1 508 136.0 116.0
1 509 253.0 113.0
1 510 315.0 113.0
1 511 554.0 116.0
1 512 692.0 115.0
1 513 712.0 113.0
1 514 716.0 114.0
1 515 712.0 115.0
1 516 834.0 113.0
1 517 836.0 113.0
1 518 173.0 123.0
1 519 235.0 123.0
1 520 248.0 123.0
1 521 274.0 124.0
1 522 265.0 126.0
1 523 316.0 124.0
1 524 703.0 123.0
1 525 236.0 133.0
1 526 234.0 136.0
1 527 236.0 136.0
1 528 248.0 135.0
1 529 268.0 134.0
1 530 287.0 136.0
1 531 687.0 134.0
1 532 695.0 134.0
1 533 714.0 136.0
1 534 727.0 135.0
1 535 723.0 136.0
